Episode,TotalReward,CheckpointsReached,CoinsCollected,BombsHit,Duration,Epsilon
1,13.901,2,0,0,25.215,0.800
2,53.380,3,0,0,30.998,0.784
3,22.008,2,0,0,27.199,0.768
4,18.590,2,0,0,25.399,0.753
5,83.503,5,0,0,44.364,0.738
6,97.927,5,4,1,53.997,0.723
7,25.186,2,0,0,33.015,0.709
8,19.421,2,0,0,25.199,0.695
9,35.381,3,0,0,29.949,0.681
10,104.771,5,5,0,47.381,0.667
11,30.142,2,1,0,27.131,0.654
12,6.123,1,0,0,22.616,0.641
13,10.701,2,0,0,26.665,0.628
14,254.800,12,3,2,90.012,0.615
15,27.721,2,0,0,26.915,0.603
16,54.406,3,2,0,32.215,0.591
17,183.221,9,0,0,62.396,0.579
18,40.454,3,0,0,29.965,0.567
19,18.251,2,0,1,27.448,0.556
20,19.812,2,0,0,26.466,0.545
21,104.483,5,5,0,42.998,0.534
22,26.964,2,0,0,25.965,0.523
23,150.580,7,4,0,49.631,0.513
24,45.562,3,0,0,30.916,0.503
25,155.392,7,7,0,59.246,0.493
26,34.426,2,0,0,27.782,0.483
27,22.638,2,0,0,27.948,0.473
28,89.407,5,0,0,45.315,0.464
29,44.972,3,0,0,29.399,0.454
30,-5.166,1,0,0,22.615,0.445
31,29.757,2,0,0,27.214,0.436
32,31.048,2,0,0,26.815,0.428
33,20.554,2,0,0,28.132,0.419
34,25.350,2,0,0,26.482,0.411
35,16.677,2,0,0,28.732,0.403
36,3.258,1,0,0,22.615,0.394
37,19.473,2,0,0,27.699,0.387
38,98.261,5,6,4,56.514,0.379
39,15.460,2,0,0,25.398,0.371
40,19.787,2,0,0,25.183,0.364
41,12.753,2,0,0,25.315,0.357
42,15.647,2,0,0,25.798,0.349
43,19.558,2,0,0,25.399,0.342
44,35.033,2,2,1,26.082,0.336
45,41.084,3,0,0,31.532,0.329
46,95.130,5,5,0,59.663,0.322
47,20.378,2,0,0,25.315,0.316
48,74.875,5,0,0,47.381,0.310
49,19.168,2,2,0,25.199,0.303
50,14.658,2,0,0,25.215,0.297
51,20.118,2,0,0,26.116,0.291
52,18.245,2,0,0,26.349,0.286
53,36.164,3,0,1,29.949,0.280
54,20.697,2,0,0,25.215,0.274
55,29.803,2,0,0,26.582,0.269
56,86.498,5,0,1,48.430,0.263
57,25.886,2,0,0,25.199,0.258
58,26.052,2,0,0,25.199,0.253
59,24.583,2,0,0,25.232,0.248
60,32.983,2,0,0,25.199,0.243
61,20.394,2,0,0,25.249,0.238
62,27.033,2,0,0,25.948,0.233
63,15.584,2,0,0,25.249,0.229
64,22.403,2,0,0,27.248,0.224
65,23.202,2,0,0,25.199,0.220
66,91.259,5,4,0,40.399,0.215
67,77.675,5,1,1,49.347,0.211
68,20.477,2,0,0,25.949,0.207
69,25.536,2,0,0,25.232,0.203
70,21.207,2,0,0,25.965,0.198
71,44.075,3,0,0,30.282,0.194
72,31.170,2,0,0,27.415,0.191
73,18.417,2,0,0,25.199,0.187
74,15.200,2,0,0,25.193,0.183
75,18.399,2,0,0,25.203,0.179
76,32.378,2,0,0,25.233,0.176
77,26.774,2,0,0,26.681,0.172
78,28.694,2,0,0,25.950,0.169
79,12.700,2,0,0,25.198,0.165
80,29.989,2,0,0,25.198,0.162
81,30.425,2,0,0,27.116,0.159
82,26.366,2,0,0,26.898,0.156
83,27.277,2,0,0,25.199,0.153
84,33.123,2,0,0,25.231,0.150
85,29.787,2,0,0,25.199,0.147
86,105.057,5,5,0,46.580,0.144
87,100.065,5,5,0,40.198,0.141
88,87.371,5,8,0,43.482,0.138
89,94.204,5,5,1,51.096,0.135
90,103.170,5,5,1,50.247,0.132
91,19.722,2,0,0,25.199,0.130
92,19.085,2,0,0,25.598,0.127
93,26.196,2,0,0,25.198,0.125
94,98.797,5,5,0,44.915,0.122
95,170.121,8,7,0,57.713,0.120
96,19.443,2,0,0,25.216,0.117
97,90.657,5,5,0,44.863,0.115
98,24.267,2,0,0,25.199,0.113
99,26.560,2,0,0,25.198,0.110
100,34.270,3,0,0,30.732,0.108
101,90.597,5,2,0,44.882,0.106
102,84.263,5,2,0,45.630,0.104
103,20.084,2,1,1,25.199,0.102
104,101.120,5,5,1,50.398,0.100
105,96.216,5,5,0,46.514,0.100
106,98.418,5,5,0,43.081,0.100
107,94.696,5,0,0,40.381,0.100
108,90.404,5,0,1,50.614,0.100
109,31.647,3,0,0,30.915,0.100
