Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
632,Bot 04,B04,True,True,549.809,15,14,0,4,0,118.154,0.250,RaceComplete,2330,q_table_v6.json,True,0.000,TurnRightAndAccelerate,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
633,Bot 07,B07,True,True,132.315,4,3,4,4,0,58.500,0.250,Stuck,2331,q_table_v6.json,False,45.061,AccelerateForward,cp:4|dist:medium|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Recover
634,Bot 03,B03,True,True,529.876,15,14,0,3,2,133.601,0.250,RaceComplete,2336,q_table_v6.json,False,0.000,HardRight,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
635,Bot 01,B01,True,True,247.142,7,6,7,2,1,91.776,0.250,Stuck,2337,q_table_v6.json,False,45.008,RecoveryTurn,cp:7|dist:medium|angle:hardLeft|speed:slow|progress:danger|bomb:False|fsm:Recover
636,Bot 08,B08,True,True,544.008,15,14,0,4,0,103.147,0.250,RaceComplete,2340,q_table_v6.json,False,0.000,Brake,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
637,Bot 04,B04,True,True,104.588,3,2,3,0,0,60.758,0.250,Stuck,2340,q_table_v6.json,False,45.062,HardLeft,cp:3|dist:far|angle:left|speed:cruise|progress:danger|bomb:False|fsm:Recover
638,Bot 05,B05,True,True,242.475,7,6,7,5,0,76.258,0.250,Stuck,2340,q_table_v6.json,False,45.058,TurnLeftAndAccelerate,cp:7|dist:close|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Racing
639,Bot 10,B10,True,True,413.884,12,11,12,3,2,136.589,0.250,Stuck,2343,q_table_v6.json,False,45.056,AccelerateForward,cp:12|dist:medium|angle:right|speed:cruise|progress:danger|bomb:False|fsm:Recover
640,Bot 02,B02,True,True,543.273,15,14,0,1,0,127.626,0.250,RaceComplete,2343,q_table_v6.json,False,0.000,HardLeft,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
641,Bot 06,B06,True,True,390.767,11,10,11,1,0,116.252,0.250,Stuck,2343,q_table_v6.json,False,45.063,TurnRightAndAccelerate,cp:11|dist:medium|angle:right|speed:slow|progress:danger|bomb:False|fsm:Recover
