Episode,TotalReward,CheckpointsReached,BestCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest
78,76.249,2,1,0,0,27.468,0.680,Stuck,157,q_table_v4.json,False
79,63.909,2,1,0,0,26.308,0.676,Stuck,157,q_table_v4.json,False
80,66.081,2,1,0,0,28.959,0.673,Stuck,157,q_table_v4.json,False
81,65.711,2,1,0,0,28.461,0.670,Stuck,157,q_table_v4.json,False
82,293.661,8,7,6,1,61.990,0.666,Stuck,164,q_table_v4.json,False
83,108.716,3,2,2,0,44.812,0.663,Stuck,164,q_table_v4.json,False
84,39.715,1,0,0,0,22.650,0.660,Stuck,171,q_table_v4.json,False
85,176.577,5,4,4,2,49.540,0.656,Stuck,171,q_table_v4.json,False
86,66.829,2,1,0,0,32.531,0.653,Stuck,171,q_table_v4.json,False
87,102.429,3,2,0,0,31.865,0.650,Stuck,172,q_table_v4.json,False
88,34.187,1,0,0,0,22.735,0.647,Stuck,172,q_table_v4.json,False
89,291.462,8,7,6,1,52.201,0.643,Stuck,175,q_table_v4.json,False
90,68.592,2,1,0,0,27.711,0.640,Stuck,175,q_table_v4.json,False
91,68.410,2,1,0,0,26.388,0.637,Stuck,175,q_table_v4.json,False
92,70.978,2,1,0,0,25.395,0.634,Stuck,175,q_table_v4.json,False
93,74.395,2,1,0,0,26.717,0.631,Stuck,176,q_table_v4.json,False
94,242.751,7,6,2,2,59.585,0.627,Stuck,177,q_table_v4.json,False
95,70.769,2,1,0,0,25.307,0.624,Stuck,177,q_table_v4.json,False
96,66.853,2,1,0,0,28.877,0.621,Stuck,177,q_table_v4.json,False
97,103.003,3,2,0,0,30.786,0.618,Stuck,177,q_table_v4.json,False
98,69.572,2,1,0,0,26.058,0.615,Stuck,177,q_table_v4.json,False
99,73.767,2,1,3,0,27.384,0.612,Stuck,177,q_table_v4.json,False
100,65.726,2,1,0,0,27.717,0.609,Stuck,177,q_table_v4.json,False
101,74.892,2,1,0,0,27.133,0.606,Stuck,177,q_table_v4.json,False
102,67.275,2,1,0,0,26.803,0.603,Stuck,177,q_table_v4.json,False
103,246.933,7,6,4,2,53.524,0.600,Stuck,177,q_table_v4.json,False
104,103.736,3,2,0,0,34.027,0.597,Stuck,177,q_table_v4.json,False
105,70.264,2,1,0,0,25.306,0.594,Stuck,177,q_table_v4.json,False
106,72.305,2,1,0,0,30.125,0.591,Stuck,177,q_table_v4.json,False
107,73.379,2,1,0,0,25.308,0.588,Stuck,177,q_table_v4.json,False
108,63.104,2,1,0,0,28.464,0.585,Stuck,177,q_table_v4.json,False
109,139.726,4,3,5,1,40.161,0.582,Stuck,177,q_table_v4.json,False
110,69.976,2,1,1,0,26.558,0.579,Stuck,177,q_table_v4.json,False
111,67.161,2,1,0,0,25.890,0.576,Stuck,180,q_table_v4.json,False
112,72.848,2,1,0,0,27.716,0.573,Stuck,180,q_table_v4.json,False
113,189.324,5,4,2,0,43.648,0.570,Stuck,183,q_table_v4.json,False
114,67.464,2,1,0,0,25.227,0.568,Stuck,183,q_table_v4.json,False
115,179.801,5,4,2,1,41.325,0.565,Stuck,184,q_table_v4.json,False
116,73.998,2,1,0,0,25.310,0.562,Stuck,184,q_table_v4.json,False
117,251.448,7,6,3,0,48.710,0.559,Stuck,184,q_table_v4.json,False
118,68.331,2,1,0,0,27.634,0.556,Stuck,184,q_table_v4.json,False
119,63.893,2,1,0,0,25.808,0.554,Stuck,184,q_table_v4.json,False
120,73.242,2,1,0,0,28.795,0.551,Stuck,184,q_table_v4.json,False
121,71.392,2,1,0,0,26.055,0.548,Stuck,184,q_table_v4.json,False
122,72.971,2,1,0,0,31.451,0.545,Stuck,184,q_table_v4.json,False
123,66.567,2,1,0,0,26.470,0.543,Stuck,184,q_table_v4.json,False
124,103.599,3,2,3,0,37.438,0.540,Stuck,184,q_table_v4.json,False
125,64.356,2,1,0,0,26.379,0.537,Stuck,184,q_table_v4.json,False
126,178.972,5,4,5,0,41.321,0.534,Stuck,185,q_table_v4.json,False
127,68.851,2,1,0,0,26.723,0.532,Stuck,185,q_table_v4.json,False
128,67.382,2,1,0,0,25.225,0.529,Stuck,185,q_table_v4.json,False
129,67.340,2,1,0,0,26.306,0.526,Stuck,186,q_table_v4.json,False
130,65.097,2,1,0,0,26.138,0.524,Stuck,186,q_table_v4.json,False
131,65.959,2,1,0,0,26.387,0.521,Stuck,186,q_table_v4.json,False
132,69.994,2,1,0,0,25.314,0.519,Stuck,186,q_table_v4.json,False
133,67.926,2,1,0,0,26.138,0.516,Stuck,186,q_table_v4.json,False
134,66.309,2,1,0,0,25.310,0.513,Stuck,186,q_table_v4.json,False
