Episode,TotalReward,CheckpointsReached,BestCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest
341,66.104,2,1,0,0,25.230,0.250,Stuck,201,q_table_v4.json,False
342,66.744,2,1,0,0,25.311,0.250,Stuck,201,q_table_v4.json,False
343,69.090,2,1,0,0,25.305,0.250,Stuck,201,q_table_v4.json,False
344,74.989,2,1,0,0,25.309,0.250,Stuck,201,q_table_v4.json,False
345,76.065,2,1,0,0,25.561,0.250,Stuck,201,q_table_v4.json,False
346,68.240,2,1,0,0,25.393,0.250,Stuck,201,q_table_v4.json,False
347,65.367,2,1,0,0,25.310,0.250,Stuck,201,q_table_v4.json,False
348,69.658,2,1,0,0,25.308,0.250,Stuck,201,q_table_v4.json,False
349,72.170,2,1,0,0,27.468,0.250,Stuck,201,q_table_v4.json,False
350,71.558,2,1,0,0,25.228,0.250,Stuck,201,q_table_v4.json,False
351,71.716,2,1,0,0,25.231,0.250,Stuck,202,q_table_v4.json,False
352,67.201,2,1,0,0,25.303,0.250,Stuck,202,q_table_v4.json,False
353,142.024,4,3,3,1,34.106,0.250,Stuck,202,q_table_v4.json,False
354,72.523,2,1,0,0,25.227,0.250,Stuck,202,q_table_v4.json,False
355,70.993,2,1,0,0,25.640,0.250,Stuck,202,q_table_v4.json,False
356,64.462,2,1,0,0,26.806,0.250,Stuck,202,q_table_v4.json,False
357,71.973,2,1,0,0,25.307,0.250,Stuck,202,q_table_v4.json,False
358,72.611,2,1,0,0,26.225,0.250,Stuck,202,q_table_v4.json,False
359,104.781,3,2,0,0,30.947,0.250,Stuck,202,q_table_v4.json,False
360,69.587,2,1,0,0,25.310,0.250,Stuck,202,q_table_v4.json,False
361,75.765,2,1,0,0,25.312,0.250,Stuck,202,q_table_v4.json,False
362,252.469,7,6,0,0,40.745,0.250,Stuck,202,q_table_v4.json,False
363,68.460,2,1,0,0,26.554,0.250,Stuck,202,q_table_v4.json,False
364,69.811,2,1,0,0,25.309,0.250,Stuck,202,q_table_v4.json,False
365,66.880,2,1,0,0,27.883,0.250,Stuck,202,q_table_v4.json,False
366,103.839,3,2,0,0,29.454,0.250,Stuck,202,q_table_v4.json,False
367,67.823,2,1,0,0,26.640,0.250,Stuck,202,q_table_v4.json,False
368,69.682,2,1,0,0,28.545,0.250,Stuck,202,q_table_v4.json,False
369,67.540,2,1,0,0,31.617,0.250,Stuck,202,q_table_v4.json,False
370,67.441,2,1,0,0,25.311,0.250,Stuck,202,q_table_v4.json,False
371,72.077,2,1,0,1,25.308,0.250,Stuck,202,q_table_v4.json,False
372,68.308,2,1,0,0,26.062,0.250,Stuck,202,q_table_v4.json,False
373,252.810,7,6,5,0,44.724,0.250,Stuck,202,q_table_v4.json,False
374,142.495,4,3,0,0,33.358,0.250,Stuck,202,q_table_v4.json,False
375,69.793,2,1,0,0,29.293,0.250,Stuck,202,q_table_v4.json,False
376,68.930,2,1,0,0,25.307,0.250,Stuck,202,q_table_v4.json,False
377,73.612,2,1,0,0,25.314,0.250,Stuck,202,q_table_v4.json,False
378,68.387,2,1,0,0,25.475,0.250,Stuck,202,q_table_v4.json,False
379,69.099,2,1,0,0,29.539,0.250,Stuck,202,q_table_v4.json,False
380,75.020,2,1,0,0,26.469,0.250,Stuck,202,q_table_v4.json,False
381,104.856,3,2,0,0,33.135,0.250,Stuck,202,q_table_v4.json,False
382,67.347,2,1,0,0,25.288,0.250,Stuck,202,q_table_v4.json,False
383,66.404,2,1,0,0,25.306,0.250,Stuck,202,q_table_v4.json,False
384,71.749,2,1,0,0,25.981,0.250,Stuck,202,q_table_v4.json,False
385,65.412,2,1,0,0,25.717,0.250,Stuck,202,q_table_v4.json,False
386,73.377,2,1,0,0,25.311,0.250,Stuck,202,q_table_v4.json,False
387,73.297,2,1,0,0,25.309,0.250,Stuck,202,q_table_v4.json,False
388,68.644,2,1,0,0,26.305,0.250,Stuck,202,q_table_v4.json,False
389,31.529,1,0,0,0,22.652,0.250,Stuck,202,q_table_v4.json,False
390,67.901,2,1,0,0,26.143,0.250,Stuck,202,q_table_v4.json,False
391,223.262,6,5,3,0,45.803,0.250,Stuck,202,q_table_v4.json,False
392,71.232,2,1,0,0,26.144,0.250,Stuck,202,q_table_v4.json,False
393,135.897,4,3,0,0,48.457,0.250,Stuck,202,q_table_v4.json,False
394,70.517,2,1,1,0,25.230,0.250,Stuck,202,q_table_v4.json,False
395,71.240,2,1,0,0,25.230,0.250,Stuck,202,q_table_v4.json,False
396,63.176,2,1,1,0,25.303,0.250,Stuck,202,q_table_v4.json,False
397,71.281,2,1,0,0,25.231,0.250,Stuck,202,q_table_v4.json,False
398,65.952,2,1,0,0,25.391,0.250,Stuck,202,q_table_v4.json,False
399,64.657,2,1,0,0,25.721,0.250,Stuck,202,q_table_v4.json,False
400,67.081,2,1,0,0,25.230,0.250,Stuck,202,q_table_v4.json,False
401,66.654,2,1,0,0,26.059,0.250,Stuck,202,q_table_v4.json,False
402,73.269,2,1,0,0,26.137,0.250,Stuck,202,q_table_v4.json,False
403,68.330,2,1,0,0,26.390,0.250,Stuck,202,q_table_v4.json,False
404,67.393,2,1,0,0,25.974,0.250,Stuck,202,q_table_v4.json,False
405,69.002,2,1,0,0,26.882,0.250,Stuck,202,q_table_v4.json,False
406,61.890,2,1,0,0,25.645,0.250,Stuck,202,q_table_v4.json,False
407,69.521,2,1,0,0,25.308,0.250,Stuck,202,q_table_v4.json,False
408,179.877,5,4,5,0,37.887,0.250,Stuck,202,q_table_v4.json,False
409,70.322,2,1,0,0,25.245,0.250,Stuck,202,q_table_v4.json,False
410,70.805,2,1,0,0,26.042,0.250,Stuck,202,q_table_v4.json,False
411,64.701,2,1,0,0,25.644,0.250,Stuck,202,q_table_v4.json,False
412,66.512,2,1,0,0,25.190,0.250,Stuck,202,q_table_v4.json,False
412,68.854,2,1,0,0,25.212,0.250,Stuck,202,q_table_v4.json,False
412,64.447,2,1,0,0,25.289,0.250,Stuck,202,q_table_v4.json,False
412,66.751,2,1,0,0,25.289,0.250,Stuck,202,q_table_v4.json,False
412,66.441,2,1,0,0,25.289,0.250,Stuck,202,q_table_v4.json,False
412,67.212,2,1,0,1,25.289,0.250,Stuck,203,q_table_v4.json,False
412,61.404,2,1,0,0,25.289,0.250,Stuck,202,q_table_v4.json,False
412,64.032,2,1,0,0,25.289,0.250,Stuck,202,q_table_v4.json,False
412,64.387,2,1,0,0,27.217,0.250,Stuck,203,q_table_v4.json,False
412,66.605,2,1,0,0,27.657,0.250,Stuck,202,q_table_v4.json,False
413,68.127,2,1,0,0,26.809,0.250,Stuck,202,q_table_v4.json,False
413,70.610,2,1,0,0,25.220,0.250,Stuck,202,q_table_v4.json,False
413,68.739,2,1,0,0,25.222,0.250,Stuck,202,q_table_v4.json,False
413,66.911,2,1,0,0,25.222,0.250,Stuck,202,q_table_v4.json,False
413,64.497,2,1,0,0,25.222,0.250,Stuck,202,q_table_v4.json,False
413,65.398,2,1,0,0,25.222,0.250,Stuck,202,q_table_v4.json,False
413,72.185,2,1,0,0,25.902,0.250,Stuck,202,q_table_v4.json,False
413,64.851,2,1,0,0,26.528,0.250,Stuck,203,q_table_v4.json,False
413,67.692,2,1,1,0,25.234,0.250,Stuck,203,q_table_v4.json,False
413,69.487,2,1,0,0,27.997,0.250,Stuck,202,q_table_v4.json,False
414,70.753,2,1,0,0,25.218,0.250,Stuck,202,q_table_v4.json,False
414,68.562,2,1,0,0,25.211,0.250,Stuck,202,q_table_v4.json,False
414,67.970,2,1,0,0,25.274,0.250,Stuck,202,q_table_v4.json,False
414,67.065,2,1,0,0,25.224,0.250,Stuck,202,q_table_v4.json,False
414,70.842,2,1,0,0,26.301,0.250,Stuck,202,q_table_v4.json,False
414,67.616,2,1,0,0,25.192,0.250,Stuck,203,q_table_v4.json,False
414,68.233,2,1,0,0,25.227,0.250,Stuck,203,q_table_v4.json,False
414,67.085,2,1,0,0,28.861,0.250,Stuck,202,q_table_v4.json,False
414,106.505,3,2,0,0,30.286,0.250,Stuck,202,q_table_v4.json,False
415,67.829,2,1,0,0,25.252,0.250,Stuck,202,q_table_v4.json,False
414,142.125,4,3,0,0,37.892,0.250,Stuck,202,q_table_v4.json,False
415,62.826,2,1,0,0,25.216,0.250,Stuck,202,q_table_v4.json,False
415,68.316,2,1,0,0,25.270,0.250,Stuck,203,q_table_v4.json,False
415,64.901,2,1,0,0,27.310,0.250,Stuck,203,q_table_v4.json,False
415,63.659,2,1,1,0,26.099,0.250,Stuck,202,q_table_v4.json,False
415,102.856,3,2,1,0,32.390,0.250,Stuck,202,q_table_v4.json,False
415,152.993,4,3,2,0,36.281,0.250,Stuck,203,q_table_v4.json,False
415,141.555,4,3,0,0,37.178,0.250,Stuck,202,q_table_v4.json,False
416,68.251,2,1,0,0,25.563,0.250,Stuck,202,q_table_v4.json,False
415,63.712,2,1,0,0,27.479,0.250,Stuck,203,q_table_v4.json,False
415,133.420,4,3,6,3,48.077,0.250,Stuck,202,q_table_v4.json,False
416,64.636,2,1,0,0,25.235,0.250,Stuck,202,q_table_v4.json,False
416,68.146,2,1,0,0,26.016,0.250,Stuck,203,q_table_v4.json,False
416,65.255,2,1,0,0,26.669,0.250,Stuck,203,q_table_v4.json,False
416,65.821,2,1,0,0,25.303,0.250,Stuck,202,q_table_v4.json,False
416,68.281,2,1,0,0,25.267,0.250,Stuck,202,q_table_v4.json,False
416,63.499,2,1,0,0,25.242,0.250,Stuck,203,q_table_v4.json,False
416,71.069,2,1,0,0,30.118,0.250,Stuck,202,q_table_v4.json,False
417,66.211,2,1,0,0,25.171,0.250,Stuck,202,q_table_v4.json,False
416,67.835,2,1,0,0,28.364,0.250,Stuck,202,q_table_v4.json,False
417,66.357,2,1,0,0,25.296,0.250,Stuck,203,q_table_v4.json,False
417,68.512,2,1,0,0,25.176,0.250,Stuck,203,q_table_v4.json,False
417,68.930,2,1,0,0,29.830,0.250,Stuck,202,q_table_v4.json,False
417,62.524,2,1,0,0,25.250,0.250,Stuck,202,q_table_v4.json,False
417,65.705,2,1,0,0,25.263,0.250,Stuck,203,q_table_v4.json,False
417,147.305,4,3,5,0,34.287,0.250,Stuck,202,q_table_v4.json,False
417,65.182,2,1,0,0,25.211,0.250,Stuck,202,q_table_v4.json,False
418,107.004,3,2,0,0,32.285,0.250,Stuck,202,q_table_v4.json,False
417,68.918,2,1,2,1,27.605,0.250,Stuck,202,q_table_v4.json,False
416,252.354,7,6,3,0,62.560,0.250,Stuck,203,q_table_v4.json,False
418,68.598,2,1,0,0,27.507,0.250,Stuck,203,q_table_v4.json,False
418,145.998,4,3,5,0,35.933,0.250,Stuck,203,q_table_v4.json,False
418,68.680,2,1,0,0,25.241,0.250,Stuck,202,q_table_v4.json,False
418,103.773,3,2,0,0,31.541,0.250,Stuck,202,q_table_v4.json,False
418,69.574,2,1,0,0,25.418,0.250,Stuck,202,q_table_v4.json,False
418,139.462,4,3,4,0,38.538,0.250,Stuck,202,q_table_v4.json,False
418,152.552,4,3,0,0,36.699,0.250,Stuck,203,q_table_v4.json,False
417,66.531,2,1,1,3,25.753,0.250,Stuck,203,q_table_v4.json,False
419,67.388,2,1,0,0,28.901,0.250,Stuck,203,q_table_v4.json,False
419,65.897,2,1,0,0,27.689,0.250,Stuck,203,q_table_v4.json,False
419,66.430,2,1,0,0,26.490,0.250,Stuck,202,q_table_v4.json,False
419,70.737,2,1,0,0,25.305,0.250,Stuck,202,q_table_v4.json,False
419,253.182,7,6,2,0,44.315,0.250,Stuck,202,q_table_v4.json,False
419,70.916,2,1,0,0,26.389,0.250,Stuck,202,q_table_v4.json,False
419,72.092,2,1,0,0,25.149,0.250,Stuck,203,q_table_v4.json,False
