Episode,TotalReward,CheckpointsReached,CoinsCollected,BombsHit,Duration,Epsilon
158,62.228,4,0,0,60.022,0.1
159,55.42,3,0,0,60.031,0.1
160,53.111,3,0,0,60.023,0.1
161,51.726,2,0,0,60.011,0.1
162,56.467,4,0,0,60.017,0.1
163,64.066,2,0,0,60.021,0.1
164,54.992,2,0,0,60.019,0.1
165,74.459,3,0,0,60.024,0.1
166,44.168,2,0,0,60.023,0.1
167,75.166,5,1,1,60.026,0.1
168,80.489,3,0,0,60.015,0.1
169,70.681,2,0,0,60.024,0.1
170,59.073,2,0,0,60.015,0.1
171,32.965,2,0,0,60.025,0.1
172,43.936,2,0,0,60.027,0.1
173,113.563,5,1,0,60.012,0.1
174,51.359,3,0,0,60.016,0.1
175,100.982,6,3,0,60.023,0.1
176,88.035,5,0,0,60.019,0.1
177,68.219,3,0,0,60.024,0.1
178,27.647,2,0,0,60.02,0.1
179,64.864,4,3,0,60.027,0.1
180,125.385,8,4,1,60.026,0.1
181,64.592,2,0,0,60.01,0.1
182,72.716,3,1,2,60.018,0.1
183,51.761,2,0,0,60.019,0.1
184,51.211,2,0,0,60.021,0.1
185,60.473,2,0,0,60.027,0.1
186,43.652,2,0,0,60.014,0.1
187,65.281,2,0,0,60.021,0.1
188,65.351,2,0,0,60.064,0.1
189,59.456,2,0,0,60.149,0.1
190,33.196,2,0,0,60.016,0.1
191,79.737,2,0,0,60.021,0.1
192,58.65,2,0,0,60.019,0.1
193,113.056,2,0,0,60.025,0.1
194,51.003,2,0,0,60.03,0.1
195,62.861,2,0,0,60.015,0.1
196,78.296,2,0,0,60.019,0.1
197,49.897,2,0,0,60.014,0.1
198,54.608,2,0,0,60.019,0.1
199,79.563,2,0,0,60.02,0.1
200,62.749,2,0,0,60.024,0.1
201,74.784,2,0,0,60.021,0.1
202,76.456,3,0,0,60.029,0.1
203,44.472,2,0,0,60.018,0.1
204,53.921,2,0,0,60.017,0.1
205,49.889,2,0,0,60.019,0.1
206,85.685,5,1,0,60.022,0.1
207,39.771,3,0,0,60.021,0.1
208,21.338,2,0,0,60.026,0.1
209,81.521,3,0,0,60.02,0.1
210,77.528,4,3,0,60.015,0.1
211,59.49,3,0,0,60.019,0.1
212,57.425,3,1,3,60.02,0.1
213,67.01,3,0,0,60.027,0.1
214,72.239,3,0,0,60.022,0.1
215,131.417,6,2,0,60.019,0.1
216,48.592,2,0,0,60.016,0.1
217,71.006,3,0,0,60.024,0.1
218,56.323,2,0,0,60.017,0.1
219,55.062,2,0,0,60.019,0.1
220,71.927,3,0,0,60.033,0.1
221,98.766,6,1,0,60.012,0.1
222,90.742,4,0,0,60.019,0.1
223,65.715,3,0,0,60.025,0.1
224,92.819,6,0,0,60.026,0.1
225,73.064,3,0,0,60.012,0.1
226,55.96,2,0,0,60.022,0.1
227,56.408,2,0,0,60.03,0.1
228,45.986,2,0,0,60.019,0.1
229,36.877,2,0,0,60.013,0.1
