Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
49,Bot 04,B04,TRUE,FALSE,425.939,12,11,12,1,0,101.568,0.1,Stuck,2470,q_table_v7_best.json,FALSE,45.059,AccelerateForward,cp:12|dist:far|angle:right|speed:fast|progress:danger|bomb:False|fsm:Recover
50,Bot 09,B09,TRUE,FALSE,268.603,7,6,7,1,0,85.723,0.1,Stuck,2476,q_table_v7_best.json,FALSE,45.06,AccelerateForward,cp:7|dist:far|angle:left|speed:max|progress:danger|bomb:False|fsm:Recover
51,Bot 01,B01,TRUE,FALSE,406.271,11,10,11,5,0,125.218,0.1,Stuck,2476,q_table_v7_best.json,FALSE,45.059,AccelerateForward,cp:11|dist:far|angle:right|speed:max|progress:danger|bomb:False|fsm:Recover
52,Bot 02,B02,TRUE,FALSE,257.285,7,6,7,7,0,74.18,0.1,Stuck,2477,q_table_v7_best.json,FALSE,45.053,AccelerateForward,cp:7|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
53,Bot 03,B03,TRUE,FALSE,545.606,15,14,15,1,0,99.167,0.1,RaceComplete,2477,q_table_v7_best.json,FALSE,9.631,AccelerateForward,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
54,Bot 04,B04,TRUE,FALSE,170.073,5,4,5,0,0,63.567,0.1,Stuck,2480,q_table_v7_best.json,FALSE,45.06,AccelerateForward,cp:5|dist:close|angle:left|speed:cruise|progress:danger|bomb:False|fsm:Racing
55,Bot 06,B06,TRUE,FALSE,397.161,11,10,11,3,0,94.931,0.1,Stuck,2481,q_table_v7_best.json,FALSE,45.061,Coast,cp:11|dist:medium|angle:hardRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
56,Bot 08,B08,TRUE,FALSE,403.684,11,10,11,1,0,89.291,0.1,Stuck,2481,q_table_v7_best.json,FALSE,45.058,TurnLeftAndAccelerate,cp:11|dist:close|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Racing
57,Bot 07,B07,TRUE,FALSE,396.383,11,10,11,1,1,104.146,0.1,Stuck,2487,q_table_v7_best.json,FALSE,45.061,AccelerateForward,cp:11|dist:medium|angle:behindLeft|speed:fast|progress:danger|bomb:False|fsm:Recover
58,Bot 09,B09,TRUE,FALSE,421.016,11,10,11,1,0,100.076,0.1,Stuck,2487,q_table_v7_best.json,FALSE,45.059,HardRight,cp:11|dist:far|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Recover
59,Bot 03,B03,TRUE,FALSE,100.861,3,2,3,3,2,63.646,0.1,Stuck,2487,q_table_v7_best.json,FALSE,45.063,AccelerateForward,cp:3|dist:far|angle:forward|speed:fast|progress:danger|bomb:False|fsm:Recover
60,Bot 10,B10,TRUE,FALSE,538.841,15,14,15,1,1,125.636,0.1,RaceComplete,2488,q_table_v7_best.json,FALSE,9.546,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
61,Bot 01,B01,TRUE,FALSE,428.065,12,11,12,1,1,110.202,0.1,Stuck,2488,q_table_v7_best.json,FALSE,45.057,AccelerateForward,cp:12|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
62,Bot 02,B02,TRUE,FALSE,423.449,12,11,12,0,0,99.745,0.1,Stuck,2490,q_table_v7_best.json,FALSE,45.058,TurnRightAndAccelerate,cp:12|dist:medium|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Racing
63,Bot 05,B05,TRUE,FALSE,534.68,15,14,15,0,0,156.422,0.1,RaceComplete,2493,q_table_v7_best.json,FALSE,10.29,AccelerateForward,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
64,Bot 04,B04,TRUE,FALSE,402.705,11,10,11,1,0,96.671,0.1,Stuck,2498,q_table_v7_best.json,FALSE,45.057,AccelerateForward,cp:11|dist:medium|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Racing
65,Bot 06,B06,TRUE,FALSE,433.017,11,10,11,0,1,99.414,0.1,Stuck,2502,q_table_v7_best.json,FALSE,45.062,AccelerateForward,cp:11|dist:far|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
66,Bot 08,B08,TRUE,FALSE,142.794,4,3,4,2,0,100.991,0.1,Stuck,2504,q_table_v7_best.json,FALSE,45.054,Coast,cp:4|dist:medium|angle:hardLeft|speed:slow|progress:danger|bomb:False|fsm:Recover
67,Bot 10,B10,TRUE,FALSE,419.714,12,11,12,3,0,89.537,0.1,Stuck,2510,q_table_v7_best.json,FALSE,45.059,AccelerateForward,cp:12|dist:far|angle:right|speed:fast|progress:danger|bomb:False|fsm:Recover
68,Bot 03,B03,TRUE,FALSE,541.15,15,14,15,1,1,101.487,0.1,RaceComplete,2515,q_table_v7_best.json,FALSE,6.889,Coast,cp:finish|dist:close|angle:left|speed:cruise|progress:fresh|bomb:False|fsm:Racing
69,Bot 02,B02,TRUE,FALSE,165.928,5,4,5,6,3,79.001,0.1,Stuck,2519,q_table_v7_best.json,FALSE,45.058,AccelerateForward,cp:5|dist:far|angle:hardRight|speed:fast|progress:danger|bomb:False|fsm:Recover
70,Bot 05,B05,TRUE,FALSE,212.692,6,5,6,0,0,66.469,0.1,Stuck,2519,q_table_v7_best.json,FALSE,45.057,AccelerateForward,cp:6|dist:far|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Recover
71,Bot 01,B01,TRUE,FALSE,392.182,11,10,11,0,1,96.675,0.1,Stuck,2521,q_table_v7_best.json,FALSE,45.059,AccelerateForward,cp:11|dist:far|angle:right|speed:max|progress:danger|bomb:False|fsm:Recover
72,Bot 08,B08,TRUE,FALSE,95.782,3,2,3,0,0,56.427,0.1,Stuck,2523,q_table_v7_best.json,FALSE,45.058,RecoveryTurn,cp:3|dist:far|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Recover
73,Bot 09,B09,TRUE,FALSE,413.574,11,10,11,1,0,127.132,0.1,Stuck,2523,q_table_v7_best.json,FALSE,45.064,AccelerateForward,cp:11|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
74,Bot 07,B07,TRUE,FALSE,548.773,15,14,15,2,0,136.587,0.1,RaceComplete,2523,q_table_v7_best.json,FALSE,7.386,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
75,Bot 10,B10,TRUE,FALSE,96.725,3,2,3,1,0,59.91,0.1,Stuck,2526,q_table_v7_best.json,FALSE,45.047,AccelerateForward,cp:3|dist:far|angle:right|speed:fast|progress:danger|bomb:False|fsm:Recover
76,Bot 02,B02,TRUE,FALSE,98.306,3,2,3,0,0,57.175,0.1,Stuck,2533,q_table_v7_best.json,FALSE,45.06,Coast,cp:3|dist:medium|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Recover
77,Bot 09,B09,TRUE,FALSE,124.736,3,2,3,0,0,54.849,0.1,Stuck,2538,q_table_v7_best.json,FALSE,45.061,AccelerateForward,cp:3|dist:far|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
78,Bot 04,B04,TRUE,FALSE,436.711,12,11,12,0,0,135.759,0.1,Stuck,2539,q_table_v7_best.json,FALSE,45.056,AccelerateForward,cp:12|dist:medium|angle:hardRight|speed:fast|progress:danger|bomb:False|fsm:Recover
