Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
538,Bot 06,B06,True,True,98.947,3,2,3,2,0,60.588,0.104,Stuck,2453,q_table_v7.json,False,45.020,RecoveryTurn,cp:3|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
539,Bot 10,B10,True,True,134.330,4,3,4,1,1,86.535,0.104,Stuck,2453,q_table_v7.json,False,45.021,TurnRightAndAccelerate,cp:4|dist:medium|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
540,Bot 05,B05,True,True,545.703,15,14,15,7,0,147.547,0.103,RaceComplete,2454,q_table_v7.json,False,8.837,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
541,Bot 03,B03,True,True,535.981,15,14,15,3,0,138.851,0.103,RaceComplete,2455,q_table_v7.json,False,6.734,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
542,Bot 07,B07,True,True,546.058,15,14,15,0,0,140.115,0.102,RaceComplete,2455,q_table_v7.json,False,9.823,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
543,Bot 02,B02,True,True,407.799,11,10,11,3,0,94.669,0.102,Stuck,2455,q_table_v7.json,False,45.017,RecoveryTurn,cp:11|dist:far|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Recover
544,Bot 04,B04,True,True,534.268,15,14,15,1,1,79.661,0.101,RaceComplete,2455,q_table_v7.json,False,6.729,Coast,cp:finish|dist:close|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Racing
545,Bot 08,B08,True,True,541.673,15,14,15,0,0,103.787,0.101,RaceComplete,2455,q_table_v7.json,False,8.411,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
546,Bot 09,B09,True,True,97.216,3,2,3,0,0,57.085,0.100,Stuck,2455,q_table_v7.json,False,45.016,AccelerateForward,cp:3|dist:medium|angle:right|speed:slow|progress:danger|bomb:False|fsm:Recover
547,Bot 01,B01,True,True,214.129,6,5,6,1,0,66.227,0.100,Stuck,2455,q_table_v7.json,False,45.053,Coast,cp:6|dist:close|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Racing
548,Bot 10,B10,True,True,170.487,5,4,5,0,0,65.080,0.099,Stuck,2462,q_table_v7.json,False,45.028,TurnLeftAndAccelerate,cp:5|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
549,Bot 03,B03,True,True,98.279,3,2,3,0,0,55.679,0.099,Stuck,2463,q_table_v7.json,False,45.133,TurnLeftAndAccelerate,cp:3|dist:medium|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
550,Bot 06,B06,True,True,313.653,9,8,9,5,2,89.344,0.098,Stuck,2484,q_table_v7.json,False,45.018,AccelerateForward,cp:9|dist:far|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Recover
551,Bot 05,B05,True,True,353.589,10,9,10,1,0,88.360,0.098,Stuck,2487,q_table_v7.json,False,45.020,TurnLeftAndAccelerate,cp:10|dist:far|angle:hardLeft|speed:cruise|progress:danger|bomb:False|fsm:Recover
