Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
1,Bot 01,B01,TRUE,FALSE,108.518,3,2,3,0,0,56.096,0.01,Stuck,2299,q_table_v7_best.json,FALSE,45.064,AccelerateForward,cp:3|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
2,Bot 06,B06,TRUE,FALSE,98.842,3,2,3,1,0,57.091,0.01,Stuck,2299,q_table_v7_best.json,FALSE,45.058,AccelerateForward,cp:3|dist:far|angle:right|speed:fast|progress:danger|bomb:False|fsm:Recover
3,Bot 07,B07,TRUE,FALSE,542.641,15,14,15,3,0,82.986,0.01,RaceComplete,2301,q_table_v7_best.json,FALSE,6.479,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
4,Bot 04,B04,TRUE,FALSE,537.658,15,14,15,0,1,88.215,0.01,RaceComplete,2301,q_table_v7_best.json,FALSE,6.72,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
5,Bot 02,B02,TRUE,FALSE,537.548,15,14,15,3,1,89.952,0.01,RaceComplete,2303,q_table_v7_best.json,FALSE,7.12,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
6,Bot 03,B03,TRUE,FALSE,416.549,12,11,12,0,1,94.597,0.01,Stuck,2303,q_table_v7_best.json,FALSE,45.059,RecoveryTurn,cp:12|dist:medium|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Recover
7,Bot 05,B05,TRUE,FALSE,542.425,15,14,15,0,0,94.683,0.01,RaceComplete,2303,q_table_v7_best.json,FALSE,7.468,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
8,Bot 08,B08,TRUE,FALSE,543.424,15,14,15,0,0,95.841,0.01,RaceComplete,2304,q_table_v7_best.json,FALSE,6.382,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
9,Bot 10,B10,TRUE,FALSE,422.969,12,11,12,0,0,101.486,0.01,Stuck,2306,q_table_v7_best.json,FALSE,45.058,AccelerateForward,cp:12|dist:medium|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
10,Bot 09,B09,TRUE,FALSE,403.032,11,10,11,0,0,103.892,0.01,Stuck,2307,q_table_v7_best.json,FALSE,45.053,Brake,cp:11|dist:far|angle:behindRight|speed:fast|progress:danger|bomb:False|fsm:Recover
11,Bot 01,B01,TRUE,FALSE,414.188,11,10,11,0,0,95.926,0.01,Stuck,2339,q_table_v7_best.json,FALSE,45.058,AccelerateForward,cp:11|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
12,Bot 06,B06,TRUE,FALSE,449.929,11,10,11,0,0,95.76,0.01,Stuck,2339,q_table_v7_best.json,FALSE,45.062,AccelerateForward,cp:11|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
13,Bot 03,B03,TRUE,FALSE,334.739,9,8,9,0,0,75.43,0.01,Stuck,2348,q_table_v7_best.json,FALSE,45.059,TurnRightAndAccelerate,cp:9|dist:far|angle:behindLeft|speed:fast|progress:danger|bomb:False|fsm:Recover
14,Bot 07,B07,TRUE,FALSE,425.593,11,10,11,3,1,88.622,0.01,Stuck,2351,q_table_v7_best.json,FALSE,45.058,AccelerateForward,cp:11|dist:far|angle:behindRight|speed:max|progress:danger|bomb:False|fsm:Recover
15,Bot 09,B09,TRUE,FALSE,209.104,6,5,6,0,1,67.963,0.01,Stuck,2351,q_table_v7_best.json,FALSE,45.056,TurnRightAndAccelerate,cp:6|dist:medium|angle:behindLeft|speed:fast|progress:danger|bomb:False|fsm:Recover
16,Bot 04,B04,TRUE,FALSE,398.065,11,10,11,6,0,95.004,0.01,Stuck,2356,q_table_v7_best.json,FALSE,45.058,TurnLeftAndAccelerate,cp:11|dist:far|angle:behindRight|speed:fast|progress:danger|bomb:False|fsm:Recover
17,Bot 08,B08,TRUE,FALSE,410.02,11,10,11,1,0,90.777,0.01,Stuck,2358,q_table_v7_best.json,FALSE,45.056,AccelerateForward,cp:11|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
18,Bot 05,B05,TRUE,FALSE,400.895,11,10,11,1,1,101.126,0.01,Stuck,2364,q_table_v7_best.json,FALSE,45.032,TurnLeftAndAccelerate,cp:11|dist:medium|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
19,Bot 10,B10,TRUE,FALSE,412.678,11,10,11,3,0,96.479,0.01,Stuck,2365,q_table_v7_best.json,FALSE,45.032,AccelerateForward,cp:11|dist:far|angle:right|speed:max|progress:danger|bomb:False|fsm:Recover
20,Bot 02,B02,TRUE,FALSE,405.72,11,10,11,0,0,117.64,0.01,Stuck,2371,q_table_v7_best.json,FALSE,45.027,AccelerateForward,cp:11|dist:far|angle:behindRight|speed:max|progress:danger|bomb:False|fsm:Recover
21,Bot 06,B06,TRUE,FALSE,102.265,3,2,3,0,0,54.823,0.01,Stuck,2371,q_table_v7_best.json,FALSE,45.027,AccelerateForward,cp:3|dist:far|angle:right|speed:fast|progress:danger|bomb:False|fsm:Recover
22,Bot 01,B01,TRUE,FALSE,282.652,7,6,7,1,0,69.099,0.01,Stuck,2375,q_table_v7_best.json,FALSE,45.036,AccelerateForward,cp:7|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
23,Bot 04,B04,TRUE,FALSE,60.272,2,1,2,0,0,50.595,0.01,Stuck,2383,q_table_v7_best.json,FALSE,45.03,AccelerateForward,cp:2|dist:medium|angle:left|speed:cruise|progress:danger|bomb:False|fsm:Recover
24,Bot 07,B07,TRUE,FALSE,165.58,5,4,5,0,0,63.037,0.01,Stuck,2383,q_table_v7_best.json,FALSE,45.033,Brake,cp:5|dist:medium|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Recover
25,Bot 09,B09,TRUE,FALSE,170.543,5,4,5,0,0,64.205,0.01,Stuck,2383,q_table_v7_best.json,FALSE,45.034,Coast,cp:5|dist:close|angle:hardRight|speed:slow|progress:danger|bomb:False|fsm:Racing
26,Bot 02,B02,TRUE,FALSE,111.532,3,2,3,1,0,55.52,0.01,Stuck,2404,q_table_v7_best.json,FALSE,45.06,AccelerateForward,cp:3|dist:medium|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
27,Bot 06,B06,TRUE,FALSE,102.558,3,2,3,0,0,55.52,0.01,Stuck,2404,q_table_v7_best.json,FALSE,45.06,TurnLeftAndAccelerate,cp:3|dist:close|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Racing
28,Bot 05,B05,TRUE,FALSE,307.019,8,7,8,7,0,74.026,0.01,Stuck,2412,q_table_v7_best.json,FALSE,45.063,AccelerateForward,cp:8|dist:far|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
29,Bot 08,B08,TRUE,FALSE,415.706,11,10,11,5,0,96.403,0.01,Stuck,2415,q_table_v7_best.json,FALSE,45.061,AccelerateForward,cp:11|dist:far|angle:behindRight|speed:max|progress:danger|bomb:False|fsm:Recover
30,Bot 03,B03,TRUE,FALSE,534.953,15,14,15,2,1,121.874,0.01,RaceComplete,2419,q_table_v7_best.json,FALSE,6.389,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
31,Bot 01,B01,TRUE,FALSE,237.878,6,5,6,0,1,74.681,0.01,Stuck,2419,q_table_v7_best.json,FALSE,45.055,AccelerateForward,cp:6|dist:far|angle:hardLeft|speed:max|progress:danger|bomb:False|fsm:Recover
32,Bot 10,B10,TRUE,FALSE,414.081,11,10,11,1,2,100.077,0.01,Stuck,2419,q_table_v7_best.json,FALSE,45.059,AccelerateForward,cp:11|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
33,Bot 09,B09,TRUE,FALSE,414.99,11,10,11,0,0,85.469,0.01,Stuck,2425,q_table_v7_best.json,FALSE,45.053,AccelerateForward,cp:11|dist:far|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
34,Bot 07,B07,TRUE,FALSE,422.568,12,11,12,0,0,91.779,0.01,Stuck,2435,q_table_v7_best.json,FALSE,45.056,AccelerateForward,cp:12|dist:far|angle:behindLeft|speed:fast|progress:danger|bomb:False|fsm:Recover
35,Bot 04,B04,TRUE,FALSE,436.424,11,10,11,0,0,93.69,0.01,Stuck,2435,q_table_v7_best.json,FALSE,45.06,AccelerateForward,cp:11|dist:far|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
36,Bot 02,B02,TRUE,FALSE,542.039,15,14,15,0,0,88.043,0.01,RaceComplete,2442,q_table_v7_best.json,FALSE,7.137,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
37,Bot 06,B06,TRUE,FALSE,542.87,15,14,15,0,0,91.193,0.01,RaceComplete,2443,q_table_v7_best.json,FALSE,6.637,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
38,Bot 05,B05,TRUE,FALSE,410.306,10,9,10,1,0,85.302,0.01,Stuck,2443,q_table_v7_best.json,FALSE,45.057,TurnRightAndAccelerate,cp:10|dist:far|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
39,Bot 08,B08,TRUE,FALSE,412.065,11,10,11,2,1,93.273,0.01,Stuck,2450,q_table_v7_best.json,FALSE,45.061,AccelerateForward,cp:11|dist:far|angle:right|speed:max|progress:danger|bomb:False|fsm:Recover
40,Bot 09,B09,TRUE,FALSE,170.725,5,4,5,0,0,62.488,0.01,Stuck,2458,q_table_v7_best.json,FALSE,45.064,Brake,cp:5|dist:far|angle:behindRight|speed:max|progress:danger|bomb:False|fsm:Recover
41,Bot 03,B03,TRUE,FALSE,416.681,11,10,11,1,1,93.274,0.01,Stuck,2459,q_table_v7_best.json,FALSE,45.059,AccelerateForward,cp:11|dist:far|angle:right|speed:max|progress:danger|bomb:False|fsm:Recover
42,Bot 01,B01,TRUE,FALSE,413.584,11,10,11,0,1,96.179,0.01,Stuck,2462,q_table_v7_best.json,FALSE,45.061,AccelerateForward,cp:11|dist:far|angle:behindRight|speed:max|progress:danger|bomb:False|fsm:Recover
43,Bot 10,B10,TRUE,FALSE,388.845,10,9,10,0,0,94.52,0.01,Stuck,2464,q_table_v7_best.json,FALSE,45.06,TurnRightAndAccelerate,cp:10|dist:far|angle:behindRight|speed:max|progress:danger|bomb:False|fsm:Recover
44,Bot 02,B02,TRUE,FALSE,104.985,3,2,3,0,0,54.518,0.01,Stuck,2471,q_table_v7_best.json,FALSE,45.056,AccelerateForward,cp:3|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
45,Bot 05,B05,TRUE,FALSE,95.436,3,2,3,0,0,56.259,0.01,Stuck,2475,q_table_v7_best.json,FALSE,45.058,AccelerateForward,cp:3|dist:far|angle:forward|speed:fast|progress:danger|bomb:False|fsm:Recover
46,Bot 07,B07,TRUE,FALSE,273.874,7,6,7,2,0,96.677,0.01,Stuck,2482,q_table_v7_best.json,FALSE,45.061,AccelerateForward,cp:7|dist:far|angle:behindRight|speed:max|progress:danger|bomb:False|fsm:Recover
47,Bot 08,B08,TRUE,FALSE,147.24,4,3,4,3,0,58.333,0.01,Stuck,2489,q_table_v7_best.json,FALSE,45.054,AccelerateForward,cp:4|dist:medium|angle:behindRight|speed:fast|progress:danger|bomb:False|fsm:Recover
48,Bot 04,B04,TRUE,FALSE,437.01,12,11,12,0,0,135.091,0.01,Stuck,2496,q_table_v7_best.json,FALSE,45.06,AccelerateForward,cp:12|dist:far|angle:left|speed:max|progress:danger|bomb:False|fsm:Recover
49,Bot 03,B03,TRUE,FALSE,537.965,15,14,15,2,1,85.635,0.01,RaceComplete,2496,q_table_v7_best.json,FALSE,6.805,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
50,Bot 06,B06,TRUE,FALSE,392.131,11,10,11,3,0,125.719,0.01,Stuck,2500,q_table_v7_best.json,FALSE,45.054,Brake,cp:11|dist:far|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
51,Bot 10,B10,TRUE,FALSE,543.11,15,14,15,0,0,88.622,0.01,RaceComplete,2500,q_table_v7_best.json,FALSE,6.639,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
52,Bot 09,B09,TRUE,FALSE,423.24,12,11,12,1,0,100.323,0.01,Stuck,2500,q_table_v7_best.json,FALSE,45.059,AccelerateForward,cp:12|dist:far|angle:behindLeft|speed:fast|progress:danger|bomb:False|fsm:Recover
53,Bot 02,B02,TRUE,FALSE,421.234,11,10,11,1,0,113.187,0.01,Stuck,2507,q_table_v7_best.json,FALSE,45.06,AccelerateForward,cp:11|dist:far|angle:hardRight|speed:max|progress:danger|bomb:False|fsm:Recover
54,Bot 07,B07,TRUE,FALSE,540.883,15,14,15,0,0,108.375,0.01,RaceComplete,2511,q_table_v7_best.json,FALSE,6.887,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
55,Bot 06,B06,TRUE,FALSE,109.431,3,2,3,0,0,54.521,0.01,Stuck,2512,q_table_v7_best.json,FALSE,45.061,AccelerateForward,cp:3|dist:far|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
56,Bot 04,B04,TRUE,FALSE,325.653,9,8,9,3,0,73.854,0.01,Stuck,2513,q_table_v7_best.json,FALSE,45.057,Coast,cp:9|dist:far|angle:behindRight|speed:max|progress:danger|bomb:False|fsm:Recover
57,Bot 10,B10,TRUE,FALSE,98.974,3,2,3,0,0,56.257,0.01,Stuck,2513,q_table_v7_best.json,FALSE,45.06,AccelerateForward,cp:3|dist:far|angle:right|speed:fast|progress:danger|bomb:False|fsm:Recover
58,Bot 08,B08,TRUE,FALSE,543.667,15,14,15,0,1,111.03,0.01,RaceComplete,2513,q_table_v7_best.json,FALSE,5.642,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
